department,course_num,section,semester,year,timeslot
ESE,534,1,Fall,2021,W 04:25PM-07:15PM
ESE,537,1,Fall,2021,TH 06:30PM-09:20PM
ESE,546,1,Fall,2021,TH 06:30PM-09:20PM
ESE,547,2,Fall,2021,TUTH 08:15PM-09:35PM
ESE,554,1,Fall,2021,TU 06:30PM-09:20PM
ESE,555,1,Fall,2021,TUTH 04:45PM-06:05PM
ESE,566,1,Fall,2021,TU 05:45PM-08:40PM
ESE,568,1,Fall,2021,W 04:25PM-07:15PM
ESE,576,1,Fall,2021,M 06:05PM-08:55PM
ESE,589,1,Fall,2021,TH 05:45PM-08:40PM
ESE,590,2,Fall,2021,M 06:05PM-09:00PM
ESE,597,16,Fall,2021,
ESE,599,16,Fall,2021,
ESE,670,2,Fall,2021,M 06:05PM-09:00PM
ESE,670,3,Fall,2021,
ESE,697,16,Fall,2021,
ESE,698,16,Fall,2021,
ESE,699,16,Fall,2021,
ESE,700,27,Fall,2021,
ESE,701,27,Fall,2021,
